[04/27/22 10:52:05] [INFO] received Windows console close event; shutting log-core down
[04/27/22 11:02:34] [INFO] received Windows console close event; shutting log-core down
[04/27/22 11:09:45] [INFO] received Windows console close event; shutting log-core down
[04/27/22 11:57:24] [INFO] received Windows console close event; shutting log-core down
[04/27/22 13:05:40] [INFO] received Windows console close event; shutting log-core down
[05/28/22 23:31:18] [INFO] received Windows console close event; shutting log-core down
[05/29/22 00:03:27] [INFO] received Windows console close event; shutting log-core down
[05/29/22 08:51:52] [INFO] received Windows console close event; shutting log-core down
[05/29/22 11:45:33] [INFO] received Windows console close event; shutting log-core down
[05/29/22 11:48:10] [INFO] received Windows console close event; shutting log-core down
[05/31/22 20:09:29] [INFO] received Windows console close event; shutting log-core down
[05/31/22 20:27:03] [INFO] received Windows console close event; shutting log-core down
[06/01/22 19:07:37] [INFO] received Windows console close event; shutting log-core down
[06/01/22 19:18:44] [INFO] received Windows console close event; shutting log-core down
[06/01/22 19:36:29] [INFO] received Windows console close event; shutting log-core down
[06/01/22 19:53:18] [INFO] received Windows console close event; shutting log-core down
[06/01/22 21:36:44] [INFO] received Windows console close event; shutting log-core down
[06/01/22 21:41:26] [INFO] received Windows console close event; shutting log-core down
[06/01/22 21:45:03] [INFO] received Windows console close event; shutting log-core down
[06/01/22 21:46:00] [INFO] received Windows console close event; shutting log-core down
[06/01/22 21:47:44] [INFO] received Windows console close event; shutting log-core down
[06/01/22 21:51:57] [INFO] received Windows console close event; shutting log-core down
[06/01/22 21:52:50] [INFO] received Windows console close event; shutting log-core down
[06/01/22 21:55:52] [INFO] received Windows console close event; shutting log-core down
[06/01/22 21:57:37] [INFO] received Windows console close event; shutting log-core down
[06/01/22 22:14:32] [INFO] received Windows console close event; shutting log-core down
[06/01/22 22:46:10] [INFO] received Windows console close event; shutting log-core down
[06/02/22 17:41:34] [INFO] received Windows console close event; shutting log-core down
[06/02/22 18:15:32] [INFO] received Windows console close event; shutting log-core down
[06/02/22 22:13:42] [INFO] received Windows console close event; shutting log-core down
[06/02/22 22:20:11] [INFO] received Windows console close event; shutting log-core down
[06/02/22 22:20:48] [INFO] received Windows console close event; shutting log-core down
[06/02/22 22:21:25] [INFO] received Windows console close event; shutting log-core down
[06/02/22 22:22:51] [INFO] received Windows console close event; shutting log-core down
[06/02/22 22:25:05] [INFO] received Windows console close event; shutting log-core down
[06/02/22 22:32:31] [INFO] received Windows console close event; shutting log-core down
[06/02/22 22:36:32] [INFO] received Windows console close event; shutting log-core down
[06/02/22 22:37:06] [INFO] received Windows console close event; shutting log-core down
[06/03/22 12:36:55] [INFO] received Windows console close event; shutting log-core down
[06/03/22 15:27:29] [INFO] received Windows console close event; shutting log-core down
[06/03/22 15:30:25] [INFO] received Windows console close event; shutting log-core down
[06/03/22 15:38:24] [INFO] received Windows console close event; shutting log-core down
[06/03/22 15:38:35] [INFO] received Windows console close event; shutting log-core down
[06/03/22 15:45:29] [INFO] received Windows console close event; shutting log-core down
[06/03/22 20:30:59] [INFO] received Windows console close event; shutting log-core down
[06/03/22 20:47:02] [INFO] received Windows console close event; shutting log-core down
[06/03/22 21:35:27] [INFO] received Windows console close event; shutting log-core down
[06/03/22 21:42:56] [INFO] received Windows console close event; shutting log-core down
[06/03/22 21:56:47] [INFO] received Windows console close event; shutting log-core down
[06/03/22 22:23:41] [INFO] received Windows console close event; shutting log-core down
[06/03/22 22:26:13] [INFO] received Windows console close event; shutting log-core down
[06/03/22 22:27:37] [INFO] received Windows console close event; shutting log-core down
[06/03/22 22:58:06] [INFO] received Windows console close event; shutting log-core down
[06/03/22 23:08:31] [INFO] received Windows console close event; shutting log-core down
[06/04/22 00:10:16] [INFO] received Windows console close event; shutting log-core down
[06/04/22 01:19:08] [INFO] received Windows console close event; shutting log-core down
[06/04/22 01:19:21] [INFO] received Windows console close event; shutting log-core down
[06/04/22 10:37:11] [INFO] received Windows console close event; shutting log-core down
[06/04/22 11:08:19] [INFO] received Windows console close event; shutting log-core down
[06/04/22 11:35:07] [INFO] received Windows console close event; shutting log-core down
[06/04/22 12:43:06] [INFO] received Windows console close event; shutting log-core down
[06/04/22 12:50:20] [INFO] received Windows console close event; shutting log-core down
[06/04/22 12:56:53] [INFO] received Windows console close event; shutting log-core down
[06/04/22 13:46:24] [INFO] received Windows console close event; shutting log-core down
[06/04/22 16:03:54] [INFO] received Windows console close event; shutting log-core down
[06/04/22 16:49:50] [INFO] received Windows console close event; shutting log-core down
[06/04/22 16:53:28] [INFO] received Windows console close event; shutting log-core down
[06/04/22 16:57:13] [INFO] received Windows console close event; shutting log-core down
[06/04/22 17:50:55] [INFO] received Windows console close event; shutting log-core down
[06/04/22 18:02:21] [INFO] received Windows console close event; shutting log-core down
[06/04/22 21:08:51] [INFO] received Windows console close event; shutting log-core down
[06/04/22 21:10:11] [INFO] received Windows console close event; shutting log-core down
[06/04/22 22:02:11] [INFO] received Windows console close event; shutting log-core down
[06/04/22 22:02:14] [INFO] received Windows console close event; shutting log-core down
[06/04/22 22:07:59] [INFO] received Windows console close event; shutting log-core down
[06/04/22 22:45:12] [INFO] received Windows console close event; shutting log-core down
[06/04/22 23:46:56] [INFO] received Windows console close event; shutting log-core down
[06/04/22 23:53:42] [INFO] received Windows console close event; shutting log-core down
[06/04/22 23:55:53] [INFO] received Windows console close event; shutting log-core down
[06/05/22 09:29:28] [INFO] received Windows console close event; shutting log-core down
[06/05/22 09:58:43] [INFO] received Windows console close event; shutting log-core down
[06/05/22 12:08:58] [INFO] received Windows console close event; shutting log-core down
[06/05/22 12:17:47] [INFO] received Windows console close event; shutting log-core down
[06/05/22 14:28:47] [INFO] received Windows console close event; shutting log-core down
[06/05/22 16:03:50] [INFO] received Windows console close event; shutting log-core down
[06/05/22 16:19:43] [INFO] received Windows console close event; shutting log-core down
[06/05/22 16:25:24] [INFO] received Windows console close event; shutting log-core down
[06/05/22 16:37:02] [INFO] received Windows console close event; shutting log-core down
[06/05/22 16:55:49] [INFO] received Windows console close event; shutting log-core down
[06/05/22 17:17:10] [INFO] received Windows console close event; shutting log-core down
[06/05/22 17:24:20] [INFO] received Windows console close event; shutting log-core down
[06/05/22 18:08:53] [INFO] received Windows console close event; shutting log-core down
[06/06/22 11:23:21] [INFO] received Windows console close event; shutting log-core down
[06/06/22 11:26:43] [INFO] received Windows console close event; shutting log-core down
[06/06/22 11:43:02] [INFO] received Windows console close event; shutting log-core down
[06/06/22 11:43:03] [INFO] received Windows console close event; shutting log-core down
[06/06/22 12:06:12] [INFO] received Windows console close event; shutting log-core down
[06/06/22 12:08:14] [INFO] received Windows console close event; shutting log-core down
[06/06/22 15:12:24] [INFO] received Windows console close event; shutting log-core down
[06/06/22 15:32:50] [INFO] received Windows console close event; shutting log-core down
[06/06/22 15:42:53] [INFO] received Windows console close event; shutting log-core down
[06/06/22 17:37:53] [INFO] received Windows console close event; shutting log-core down
[06/06/22 18:03:39] [INFO] received Windows console close event; shutting log-core down
[06/06/22 18:04:03] [INFO] received Windows console close event; shutting log-core down
[06/06/22 18:04:08] [INFO] received Windows console close event; shutting log-core down
[06/07/22 16:45:52] [INFO] received Windows console close event; shutting log-core down
[06/07/22 19:47:14] [INFO] received Windows console close event; shutting log-core down
[06/10/22 18:16:35] [INFO] received Windows console close event; shutting log-core down
[06/10/22 18:52:33] [INFO] received Windows console close event; shutting log-core down
[06/11/22 01:12:48] [INFO] received Windows console close event; shutting log-core down
[06/11/22 15:21:58] [INFO] received Windows console close event; shutting log-core down
[06/11/22 15:30:40] [INFO] received Windows console close event; shutting log-core down
[06/11/22 15:33:27] [INFO] received Windows console close event; shutting log-core down
[06/12/22 14:00:22] [INFO] received Windows console close event; shutting log-core down
[06/12/22 14:02:15] [INFO] received Windows console close event; shutting log-core down
[06/12/22 16:00:27] [INFO] received Windows console close event; shutting log-core down
[06/13/22 06:03:18] [INFO] received Windows console close event; shutting log-core down
[06/13/22 06:32:02] [INFO] received Windows console close event; shutting log-core down
[06/13/22 06:56:09] [INFO] received Windows console close event; shutting log-core down
[06/13/22 07:02:33] [INFO] received Windows console close event; shutting log-core down
[06/13/22 07:42:46] [INFO] received Windows console close event; shutting log-core down
[06/13/22 21:02:09] [INFO] received Windows console close event; shutting log-core down
[06/13/22 22:48:36] [INFO] received Windows console close event; shutting log-core down
[06/14/22 02:50:44] [INFO] received Windows console close event; shutting log-core down
[06/14/22 03:21:19] [INFO] received Windows console close event; shutting log-core down
[06/14/22 04:07:28] [INFO] received Windows console close event; shutting log-core down
[06/14/22 05:06:28] [INFO] received Windows console close event; shutting log-core down
[06/14/22 05:18:13] [INFO] received Windows console close event; shutting log-core down
[06/14/22 06:21:49] [INFO] received Windows console close event; shutting log-core down
[06/14/22 07:06:31] [INFO] received Windows console close event; shutting log-core down
[06/14/22 08:18:25] [INFO] received Windows console close event; shutting log-core down
[06/14/22 08:46:48] [INFO] received Windows console close event; shutting log-core down
[06/14/22 08:53:43] [INFO] received Windows console close event; shutting log-core down
[06/14/22 09:10:51] [INFO] received Windows console close event; shutting log-core down
[06/14/22 09:27:05] [INFO] received Windows console close event; shutting log-core down
[06/14/22 09:30:07] [INFO] received Windows console close event; shutting log-core down
[06/14/22 09:54:24] [INFO] received Windows console close event; shutting log-core down
[06/14/22 09:58:17] [INFO] received Windows console close event; shutting log-core down
[06/14/22 10:05:57] [INFO] received Windows console close event; shutting log-core down
[06/14/22 16:34:15] [INFO] received Windows console close event; shutting log-core down
[06/15/22 05:36:28] [INFO] received Windows console close event; shutting log-core down
[06/15/22 05:38:28] [INFO] received Windows console close event; shutting log-core down
[06/15/22 05:40:17] [INFO] received Windows console close event; shutting log-core down
[06/15/22 06:40:39] [INFO] received Windows console close event; shutting log-core down
[06/15/22 06:57:01] [INFO] received Windows console close event; shutting log-core down
[06/15/22 07:40:06] [INFO] received Windows console close event; shutting log-core down
[06/15/22 11:57:58] [INFO] received Windows console close event; shutting log-core down
[06/15/22 12:20:09] [INFO] received Windows console close event; shutting log-core down
[06/15/22 15:12:57] [INFO] received Windows console close event; shutting log-core down
[06/15/22 15:22:51] [INFO] received Windows console close event; shutting log-core down
[06/15/22 15:33:02] [INFO] received Windows console close event; shutting log-core down
[06/15/22 15:34:32] [INFO] received Windows console close event; shutting log-core down
[06/15/22 16:00:16] [INFO] received Windows console close event; shutting log-core down
[06/15/22 16:08:25] [INFO] received Windows console close event; shutting log-core down
[06/15/22 16:20:29] [INFO] received Windows console close event; shutting log-core down
[06/15/22 18:15:14] [INFO] received Windows console close event; shutting log-core down
[06/16/22 10:41:56] [INFO] received Windows console close event; shutting log-core down
